Acts.1.1 | Első könyvemet Teofilus, mindazokról a dolgokról írtam, amelyeket Jézus cselekedett és tanított
Acts.28.15 | Onnét is az atyafiak, mikor hallottak rólunk, elénk jöttek Appius Fórumáig és Tres Tabernaeig. És mikor Pál meglátta őket, hálát adott az Istennek és újból megbátorodott,
Acts.28.16 | Mikor pedig Rómába érkeztünk, Pálnak megengedték, hogy külön lakjék az őt őrző katonával. (A 16. vers egyes kéziratokban így hangzik: Mikor pedig Rómába érkeztünk, a százados átadta a foglyokat az illetékes katonai parancsnoknak, Pálnak azonban megengedték, hogy külön lakjék az őt őrző katonával.)
Acts.28.17 | Három nap múlva azután magához hívatta a zsidók közül való főembereket. Mikor pedig összegyűltek, így szólt hozzájuk: Atyámfiai, férfiak, bár én semmit sem vétkeztem a nép ellen vagy az ősi szokások ellen, mégis foglyul adtak Jeruzsálemből a rómaiak kezébe.
Acts.28.18 | Miután ezek kihallgattak, szabadon akartak bocsátani, mivel nincs bennem semmi halált érdemlő vétek.
Acts.28.19 | De mert a zsidók ez ellen tiltakoztak, kénytelen voltam a császárhoz fellebbezni, de nem mintha az én népem ellen valami vádam volna.
Acts.28.20 | Azért hívattalak hát titeket, hogy lássalak és szóljak veletek, mert Izráel reménységéért hordozom ezt a láncot.
Acts.28.21 | Azok pedig így szóltak neki: Mi sem levelet nem kaptunk felőled Júdeából, sem pedig az atyafiak közül senki sem jött ide s nem jelentett vagy mondott felőled semmi rosszat.
Acts.28.22 | Szeretnék tehát tőled hallani, hogyan gondolkodol. Mert tudjuk, hogy mindenütt ellene mondanak ennek a felekezetnek.
Acts.28.23 | Miután tehát egy napot tűztek ki neki, többen eljöttek hozzá a szállására. Ezeknek nagy bizonyságtevéssel hirdette az Isten országát és igyekezett őket meggyőzni Jézus felől, mind Mózes törvényéből, mind a prófétákból reggeltől fogva egész estig.
Acts.28.24 | És némelyek hittek az ő beszédének, mások pedig nem hittek.
Acts.28.25 | Mivel pedig nem egyeztek meg egymással, szétoszoltak és Pál ezt a beszédet mondta: Helyesen szólott a Szentlélek Ésaiás próféta által a ti atyáitokhoz,
Acts.28.26 | "mikor ezt mondta: Menj el e néphez és mondd: Hallván halljatok és ne értsetek; és nézvén nézzetek és ne lássatok!"
Acts.28.27 | Mert megkövéredett ennek a népnek a szíve és fülükkel nehezen hallanak és szemüket behunyják, hogy szemükkel ne lássanak, fülükkel ne halljanak, szívükkel ne értsenek és meg ne térjenek, és én meg ne gyógyítsam őket.
Acts.28.28 | Tudjátok meg azért, hogy az Isten ezt az üdvösséget a pogány népeknek küldötte és azok hallgatni is fogják.
Acts.28.29 | És mikor ezeket mondta, elmentek a zsidók, maguk között sokat vitatkozva.
Acts.28.30 | "Pál pedig két esztendeig maradt tulajdon bérelt szállásán és mindazokat fogadta, akik hozzá mentek;"
Acts.28.31 | hirdette az Isten országát és tanított az Úr Jézus Krisztusról, teljes bátorsággal, minden akadályozás nélkül.
